"time","Euro area","Germany","Greece","Italy","Japan","Spain","Switzerland","United Kingdom","United States"
2003-09-30,8.9,9.8,9.7,8.4,5.2,11.5,4.076725569229,4.9,6.1
2003-10-31,8.9,9.8,9.9,8.2,5.1,11.4,4.16466040977227,4.9,6
2003-11-30,8.9,9.8,9.9,8.2,5.1,11.3,4.31052902703564,4.9,5.8
2003-12-31,9,9.8,9.9,8.2,4.9,11.4,4.41584751499086,4.8,5.7
2004-01-31,9,9.8,11.1,8.3,4.9,11.3,4.67192324717006,4.7,5.7
2004-02-29,9.1,10.1,10.9,8.1,5,11.2,4.6712537420379,4.7,5.6
2004-03-31,9.1,10.3,10.8,8.2,4.8,11.1,4.5485688025005,4.7,5.8
2004-04-30,9.1,10.3,10.6,8.1,4.8,11.2,4.50413780215392,4.7,5.6
2004-05-31,9.1,10.3,10.6,8.2,4.7,11.2,4.36950753223914,4.7,5.6
2004-06-30,9.1,10.3,10.5,7.9,4.7,11.2,4.22086227789243,4.7,5.6
2004-07-31,9.1,10.3,10.5,7.9,4.9,11.1,4.23789957789428,4.6,5.5
2004-08-31,9.1,10.4,10.4,7.7,4.8,11,4.29473988387706,4.6,5.4
2004-09-30,9.1,10.4,10.4,7.9,4.6,10.9,4.37970678966914,4.6,5.4
2004-10-31,9.1,10.5,10.4,7.8,4.6,10.7,4.40356986190107,4.7,5.5
2004-11-30,9.1,10.6,10.4,8,4.5,10.6,4.40582412467664,4.7,5.4
2004-12-31,9.1,10.7,10.3,7.7,4.5,10.3,4.48265802093008,4.7,5.4
2005-01-31,9,10.7,10.3,7.7,4.5,10.1,4.76624071853666,4.7,5.3
2005-02-28,9.1,10.9,10.1,8,4.6,9.8,4.74512512264614,4.6,5.4
2005-03-31,9,10.9,10,7.8,4.5,9.7,4.70505771132075,4.6,5.2
2005-04-30,9.1,11.1,10.1,7.9,4.5,9.6,4.63304150596072,4.7,5.2
2005-05-31,9.1,11.2,10,7.6,4.5,9.4,4.5017599933417,4.7,5.1
2005-06-30,9.1,11.2,10,7.8,4.3,9.1,4.32351232419877,4.6,5
2005-07-31,9,11.2,10.1,7.6,4.4,8.8,4.28236047272366,4.6,5
2005-08-31,8.9,11.2,10.1,7.5,4.3,8.6,4.18556426250332,4.6,4.9
2005-09-30,9,11.1,10.1,7.8,4.2,8.5,4.32527378864772,4.9,5
2005-10-31,8.9,11,10,7.7,4.4,8.6,4.31860844151883,5.1,5
2005-11-30,8.9,10.8,9.8,7.6,4.5,8.7,4.27103321133754,5.1,5
2005-12-31,8.8,10.7,9.7,7.5,4.4,8.8,4.40085933988828,5.1,4.9
2006-01-31,8.8,10.6,9.5,7.3,4.4,8.8,4.57286939351083,5.1,4.7
2006-02-28,8.7,10.5,9.5,7.3,4.1,8.7,4.43691313578799,5.2,4.8
2006-03-31,8.6,10.4,9.3,7.1,4.1,8.7,4.35191819023803,5.3,4.7
2006-04-30,8.5,10.3,9.2,7,4.1,8.6,4.24994572555321,5.4,4.7
2006-05-31,8.5,10.2,9,6.9,4.1,8.5,4.10329410843298,5.4,4.6
2006-06-30,8.3,10.1,8.9,6.6,4.2,8.4,3.80993407019037,5.4,4.6
2006-07-31,8.3,10,8.7,6.5,4.1,8.3,3.8788520358878,5.4,4.7
2006-08-31,8.2,9.9,8.7,6.7,4.1,8.3,3.8132056999787,5.4,4.7
2006-09-30,8.2,9.8,8.6,6.7,4.1,8.2,3.79248701701849,5.4,4.5
2006-10-31,8.1,9.7,8.5,6.7,4.1,8.3,3.85197052717913,5.4,4.4
2006-11-30,8.1,9.6,9,6.6,4,8.3,3.84911503047217,5.4,4.5
2006-12-31,7.9,9.4,9,6.2,4,8.3,3.94297741069342,5.4,4.4
2007-01-31,7.9,9.2,8.9,6.2,4,8.3,4.23923337294078,5.5,4.6
2007-02-28,7.8,9,8.9,6,4,8.2,4.10759766452934,5.5,4.5
2007-03-31,7.7,8.9,8.9,5.9,4,8.1,4.00696538717646,5.5,4.4
2007-04-30,7.5,8.7,8.6,5.7,3.8,8,3.9204516774531,5.3,4.5
2007-05-31,7.5,8.6,8.4,6,3.8,7.9,3.68255249045076,5.3,4.4
2007-06-30,7.5,8.6,8.3,6,3.7,8,3.46764381915877,5.2,4.6
2007-07-31,7.5,8.5,8.2,6.4,3.6,8.1,3.51099769614199,5.3,4.7
2007-08-31,7.5,8.4,8.2,6.2,3.7,8.3,3.4146150885854,5.3,4.6
2007-09-30,7.4,8.4,8.2,6.1,3.9,8.3,3.49961223406948,5.2,4.7
2007-10-31,7.4,8.3,8.2,6.2,4,8.4,3.40594677190519,5.1,4.7
2007-11-30,7.3,8.2,8,6.3,3.8,8.6,3.48625909008154,5,4.7
2007-12-31,7.4,8.1,8.1,6.6,3.7,8.8,3.41320171990677,5,5
2008-01-31,7.3,7.9,7.9,6.6,3.9,9.1,3.83628199291984,5.1,5
2008-02-29,7.3,7.8,8.1,6.6,4,9.3,3.66986110173176,5.1,4.9
2008-03-31,7.3,7.7,8.2,6.3,3.8,9.5,3.66333007656812,5.2,5.1
2008-04-30,7.4,7.6,7.9,6.8,3.9,10,3.62270996418433,5.1,5
2008-05-31,7.4,7.5,7.3,6.7,4,10.4,3.38696421199375,5.3,5.4
2008-06-30,7.5,7.4,7.4,6.9,4,10.8,3.20431270522109,5.4,5.6
2008-07-31,7.5,7.3,7.5,6.6,3.9,11.1,3.23952508977235,5.7,5.8
2008-08-31,7.6,7.1,7.6,6.8,4.1,11.5,3.3110903180596,5.8,6.1
2008-09-30,7.6,7,7.6,6.8,4,12,3.24450506696092,5.9,6.1
2008-10-31,7.8,7,7.6,6.9,3.8,12.9,3.15704489593351,6.1,6.5
2008-11-30,8,7.1,7.9,6.9,4,13.8,3.33920835858372,6.3,6.8
2008-12-31,8.3,7.2,8.6,6.8,4.4,14.8,3.54699891217446,6.5,7.3
2009-01-31,8.7,7.3,9.1,7.2,4.3,15.9,3.99566473073682,6.7,7.8
2009-02-28,9,7.5,9.1,7.3,4.6,16.8,4.01061548922583,7.1,8.3
2009-03-31,9.2,7.6,9.1,7.5,4.8,17.4,3.98797565319238,7.3,8.7
2009-04-30,9.4,7.7,9.2,7.4,5,17.7,4.09883511464122,7.6,9
2009-05-31,9.4,7.8,9.2,7.3,5.1,17.9,4.09033073483917,7.7,9.4
2009-06-30,9.5,7.8,9.4,7.6,5.2,17.9,4.13789673308901,7.8,9.5
2009-07-31,9.6,7.9,9.6,7.8,5.5,18,4.29664834217883,7.8,9.5
2009-08-31,9.7,7.8,9.7,7.8,5.4,18.2,4.44398042938731,7.8,9.6
2009-09-30,9.8,7.7,9.9,8.1,5.4,18.4,4.56482555276689,7.8,9.8
2009-10-31,9.9,7.7,10.1,8.1,5.2,18.6,4.65960054465144,7.7,10
2009-11-30,9.9,7.6,10.5,8.1,5.2,18.7,4.78204854097836,7.7,9.9
2009-12-31,10,7.5,10.7,8.4,5.2,19,4.95561668092329,7.7,9.9
2010-01-31,10,7.4,11.1,8.5,5,19,5.15734085855321,7.9,9.8
2010-02-28,10,7.4,11.4,8.5,5,19.2,5.19624376267221,8,9.8
2010-03-31,10.1,7.3,11.6,8.5,5.1,19.5,4.98898883112848,7.9,9.9
2010-04-30,10.1,7.2,11.9,8.6,5.1,19.8,4.44364867041713,7.8,9.9
2010-05-31,10.1,7,12.2,8.5,5.1,20,4.14793157281402,7.8,9.6
2010-06-30,10.1,6.9,12.5,8.3,5.2,20,4.1545047465603,7.7,9.4
2010-07-31,10,6.8,12.7,8.2,5,19.9,4.58592385349944,7.7,9.4
2010-08-31,10,6.8,12.9,8.1,5.1,20.1,4.74131466520259,7.6,9.5
2010-09-30,10,6.7,13.4,8.1,5.1,20.2,4.60626857261464,7.8,9.5
2010-10-31,10,6.7,13.9,8.5,5.1,20.2,4.1749489015478,7.8,9.4
2010-11-30,10,6.6,14.3,8.3,5,20.2,4.07748616658141,7.8,9.8
2010-12-31,10,6.5,14.7,8.1,4.9,20.3,4.20546839184825,7.9,9.3
2011-01-31,9.9,6.4,15.1,8,4.8,20.4,4.44066945733782,7.8,9.1
2011-02-28,9.9,6.2,15.4,7.9,4.7,20.5,4.43370234213853,7.7,9
2011-03-31,9.9,6.1,16,8,4.7,20.6,4.24365720671565,7.7,9
2011-04-30,9.8,6,16.4,7.9,4.7,20.5,3.78399467559919,7.8,9.1
2011-05-31,9.9,5.9,17,8.1,4.6,20.7,3.45604601188899,7.9,9
2011-06-30,9.9,5.8,17.3,8.1,4.7,21,3.4948454805902,8,9.1
2011-07-31,10,5.8,17.8,8.2,4.7,21.4,4.01067628406237,8.1,9
2011-08-31,10.1,5.7,18.6,8.3,4.5,21.7,4.26058410365092,8.3,9
2011-09-30,10.3,5.7,19.1,8.8,4.2,22.1,4.2314369230477,8.3,9
2011-10-31,10.4,5.6,20.2,8.6,4.4,22.4,3.9495178758041,8.4,8.8
2011-11-30,10.5,5.5,20.6,9.2,4.5,22.6,3.97964022311805,8.4,8.6
2011-12-31,10.7,5.5,21.3,9.6,4.5,22.9,4.16306581954413,8.3,8.5
2012-01-31,10.7,5.5,21.5,9.5,4.5,23.2,4.35820738071213,8.2,8.3
2012-02-29,10.9,5.4,22.1,10,4.5,23.6,4.39529768742696,8.1,8.3
2012-03-31,11,5.4,22.6,10.5,4.5,23.9,4.23278739661092,8.1,8.2
2012-04-30,11.1,5.4,23.5,10.6,4.5,24.2,3.84537383100354,8,8.2
2012-05-31,11.2,5.4,24.1,10.4,4.4,24.6,3.65666493506735,7.9,8.2
2012-06-30,11.3,5.4,24.9,10.7,4.3,24.8,3.69810061209596,7.9,8.2
2012-07-31,11.4,5.4,25.3,10.7,4.3,25.1,4.14614991178608,7.8,8.2
2012-08-31,11.5,5.3,25.7,10.7,4.2,25.3,4.41017402561409,7.8,8.1
2012-09-30,11.6,5.3,26.1,10.9,4.2,25.5,4.41992689401493,7.8,7.8
2012-10-31,11.7,5.3,26.1,11.4,4.1,25.7,4.24914378618628,7.8,7.8
2012-11-30,11.8,5.3,26.4,11.3,4.1,25.9,4.35234626935591,7.8,7.7
2012-12-31,11.8,5.3,26.4,11.4,4.3,26,4.52807017515893,7.8,7.9
2013-01-31,12,5.4,26.7,11.8,4.2,26.2,4.66979676430045,7.9,8
2013-02-28,12,5.4,26.7,11.9,4.3,26.3,4.69062050106637,7.7,7.7
2013-03-31,12,5.4,27.1,11.9,4.1,26.3,4.54670716557389,7.7,7.5
2013-04-30,12.1,5.3,27.6,12,4.1,26.3,4.25993670365543,7.7,7.6
2013-05-31,12.1,5.3,27.8,12,4.1,26.2,4.10005884561758,7.7,7.5
2013-06-30,12,5.2,27.8,12.1,3.9,26.2,4.1159716667565,7.7,7.5
2013-07-31,12,5.2,27.9,12,3.8,26.2,4.57543309262857,7.7,7.3
2013-08-31,12,5.2,27.7,12.3,4.1,26.1,4.79506203182877,7.6,7.3
2013-09-30,12,5.2,27.9,12.3,3.9,26.1,4.64238815183516,7.4,7.2
2013-10-31,11.9,5.1,27.7,12.3,4,26,4.06667611364521,7.2,7.2
2013-11-30,11.9,5.1,27.7,12.3,3.9,25.8,3.96153771767781,7.2,6.9
2013-12-31,11.9,5.1,27.5,12.4,3.7,25.5,4.24712294058712,7.1,6.7
2014-01-31,11.9,5.1,27.1,12.8,3.7,25.5,4.78164569815912,6.8,6.6
2014-02-28,11.9,5.1,27.1,12.9,3.6,25.3,4.9122534346766,6.7,6.7
2014-03-31,11.8,5.1,26.9,12.7,3.6,25.1,4.7874727632343,6.6,6.7
2014-04-30,11.7,5,27.1,12.6,3.6,24.8,4.5418406791145,6.4,6.2
2014-05-31,11.7,5,27.1,12.6,3.6,24.7,4.35309067554476,6.2,6.3
2014-06-30,11.5,5,26.7,12.1,3.7,24.4,4.33565471411462,6.1,6.1
2014-07-31,11.6,5,26.4,12.6,3.7,24.3,4.76414011175566,6,6.2
2014-08-31,11.5,5,26.2,12.4,3.5,24.1,4.95588323642657,5.9,6.2
2014-09-30,11.5,5,26.1,12.8,3.5,24,4.76843803732558,5.9,5.9
2014-10-31,11.5,5,26.1,12.8,3.6,23.9,4.14532756208056,5.8,5.7
2014-11-30,11.5,4.9,25.9,13,3.5,23.7,3.98107937570482,5.6,5.8
2014-12-31,11.3,4.9,25.8,12.3,3.4,23.6,4.13992927143601,5.6,5.6
2015-01-31,11.3,4.8,25.8,12.3,3.5,23.4,4.38489850569909,5.5,5.7
2015-02-28,11.2,4.8,25.8,12.3,3.5,23.2,4.42820588801185,5.5,5.5
2015-03-31,11.2,4.7,25.7,12.4,3.4,23,4.39360330805931,5.4,5.4
2015-04-30,11.1,4.7,25.3,12.1,3.4,22.7,4.22332986319388,5.5,5.4
2015-05-31,11.1,4.7,25.1,12.2,3.3,22.5,4.09558724336509,5.6,5.5
2015-06-30,11,4.6,24.9,12.2,3.4,22.3,4.19298720855133,5.5,5.3
2015-07-31,10.8,4.6,24.8,11.7,3.4,21.9,4.74471401360727,5.4,5.2
2015-08-31,10.7,4.5,24.7,11.5,3.4,21.6,5.01937890088556,5.3,5.1
2015-09-30,10.6,4.5,24.8,11.5,3.4,21.4,4.98385114020286,5.2,5
2015-10-31,10.6,4.5,24.6,11.6,3.2,21.2,4.63911958934066,5,5
2015-11-30,10.5,4.5,24.5,11.5,3.3,20.9,4.63477755906541,5,5
2015-12-31,10.4,4.4,24.1,11.6,3.3,20.7,4.84012615116812,5,5
2016-01-31,10.4,4.4,24.3,11.6,3.2,20.6,5.11567883055389,5.1,4.9
2016-02-29,10.3,4.3,23.9,11.7,3.2,20.5,5.16519476030336,5,4.9
2016-03-31,10.2,4.3,23.8,11.5,3.2,20.3,4.96403211648763,4.9,5
2016-04-30,10.2,4.2,23.5,11.6,3.2,20.3,4.40782196515096,4.9,5
2016-05-31,10.1,4.2,23.6,11.5,3.2,20.1,4.14917080297725,4.9,4.7
2016-06-30,10.1,4.2,23.4,11.6,3.1,19.9,4.20862842944461,4.8,4.9
2016-07-31,10,4.2,23.3,11.5,3,19.5,4.70271313587733,4.8,4.9
2016-08-31,9.9,4.1,23.3,11.5,3.1,19.3,4.94409254773058,4.7,4.9
2016-09-30,9.9,4.1,23.1,11.8,3,19.1,4.84581790082904,4.7,4.9
2016-10-31,9.8,4,23.1,11.7,3,18.9,4.35444177155172,4.7,4.8
2016-11-30,9.7,3.9,23.1,11.9,3.1,18.7,4.26354464016395,4.7,4.6
2016-12-31,9.6,3.9,23.1,11.9,3.1,18.4,4.38390862892969,4.6,4.7
2017-01-31,9.6,3.9,NA,11.8,3,18.2,NA,NA,4.8
2017-02-28,9.5,3.9,NA,11.5,2.8,18,NA,NA,4.7
